run_id,seq_idx,wtime,pss_kb,label,anomaly_type,recon_error,pred,flag_type
anomaly_combined,25,68.0,938785.0,1,combined,761.7617797851562,1,TP
anomaly_combined,26,70.0,938785.0,1,combined,761.762451171875,1,TP
anomaly_combined,27,72.0,938785.0,1,combined,761.76318359375,1,TP
anomaly_combined,28,74.0,938785.0,1,combined,761.7638549804688,1,TP
anomaly_combined,29,76.0,938785.0,1,combined,761.7644653320312,1,TP
anomaly_combined,30,78.0,938785.0,1,combined,761.7650756835938,1,TP
anomaly_combined,31,80.0,938785.0,1,combined,761.765625,1,TP
anomaly_combined,32,82.0,938785.0,1,combined,761.7661743164062,1,TP
anomaly_combined,33,84.0,938785.0,1,combined,761.7666015625,1,TP
anomaly_combined,34,86.0,938785.0,1,combined,761.76708984375,1,TP
anomaly_combined,35,88.0,938785.0,1,combined,761.767578125,1,TP
anomaly_combined,36,90.0,938785.0,1,combined,761.7680053710938,1,TP
anomaly_combined,37,92.0,938785.0,1,combined,761.7684326171875,1,TP
anomaly_combined,38,94.0,938785.0,1,combined,761.7687377929688,1,TP
anomaly_combined,39,96.0,938785.0,1,combined,761.7692260742188,1,TP
anomaly_combined,40,98.0,938785.0,1,combined,761.7695922851562,1,TP
anomaly_combined,41,100.0,938785.0,1,combined,761.7699584960938,1,TP
anomaly_combined,42,102.0,938785.0,1,combined,761.770263671875,1,TP
anomaly_combined,43,104.0,938777.0,1,combined,761.7704467773438,1,TP
anomaly_combined,44,106.0,938776.0,1,combined,761.7706298828125,1,TP
anomaly_combined,45,108.0,938776.0,1,combined,761.7709350585938,1,TP
anomaly_combined,46,110.0,938776.0,1,combined,761.7710571289062,1,TP
anomaly_combined,47,112.0,938776.0,1,combined,761.7713012695312,1,TP
anomaly_combined,48,114.0,938776.0,1,combined,761.771484375,1,TP
anomaly_combined,49,116.0,938776.0,1,combined,761.7716674804688,1,TP
anomaly_combined,50,118.0,938776.0,1,combined,761.7717895507812,1,TP
anomaly_combined,51,120.0,938776.0,1,combined,761.77197265625,1,TP
anomaly_combined,52,122.0,938776.0,1,combined,761.7721557617188,1,TP
anomaly_combined,53,124.0,938776.0,1,combined,761.7723388671875,1,TP
anomaly_combined,54,126.0,938785.0,1,combined,761.7725830078125,1,TP
anomaly_combined,55,128.0,938785.0,1,combined,761.7728271484375,1,TP
anomaly_combined,56,130.0,938785.0,1,combined,761.7731323242188,1,TP
anomaly_combined,57,132.0,938785.0,1,combined,761.7734375,1,TP
anomaly_combined,58,134.0,938785.0,1,combined,761.7736206054688,1,TP
anomaly_combined,59,136.0,938785.0,1,combined,761.77392578125,1,TP
anomaly_combined,60,138.0,938785.0,1,combined,761.7741088867188,1,TP
anomaly_combined,61,140.0,938785.0,1,combined,761.7744140625,1,TP
anomaly_combined,62,142.0,938785.0,1,combined,761.7745971679688,1,TP
anomaly_combined,63,144.0,938785.0,1,combined,761.77490234375,1,TP
anomaly_combined,64,146.0,938785.0,1,combined,761.7750244140625,1,TP
anomaly_combined,65,148.0,938785.0,1,combined,761.7752685546875,1,TP
anomaly_combined,66,150.0,938785.0,1,combined,761.775390625,1,TP
anomaly_combined,67,152.0,938785.0,1,combined,761.7755737304688,1,TP
anomaly_combined,68,154.0,938785.0,1,combined,761.775634765625,1,TP
anomaly_combined,69,156.0,938785.0,1,combined,761.7756958007812,1,TP
anomaly_combined,70,158.0,938785.0,1,combined,761.7758178710938,1,TP
anomaly_combined,71,160.0,938785.0,1,combined,761.7759399414062,1,TP
anomaly_combined,72,162.0,938785.0,1,combined,761.776123046875,1,TP
anomaly_combined,73,164.0,938785.0,1,combined,761.7762451171875,1,TP
anomaly_combined,74,166.0,938785.0,1,combined,761.7762451171875,1,TP
anomaly_combined,75,168.0,938785.0,1,combined,761.7763671875,1,TP
anomaly_combined,76,170.0,938785.0,1,combined,761.7763671875,1,TP
anomaly_combined,77,172.0,938785.0,1,combined,761.7765502929688,1,TP
anomaly_combined,78,174.0,938785.0,1,combined,761.7766723632812,1,TP
anomaly_combined,79,176.0,938785.0,1,combined,761.7767944335938,1,TP
